event_id,user_id,event,category,event_time
1,2411,view_item,Home & Living,2025-07-02 16:48:00
2,3931,add_to_cart,Electronics,2025-07-17 15:10:00
3,3396,view_item,Electronics,2025-07-21 06:27:00
4,3051,view_item,Electronics,2025-07-09 09:19:00
5,2065,add_to_cart,Fashion,2025-07-31 01:25:00
6,3965,add_to_cart,Beauty,2025-07-31 13:35:00
7,3284,view_item,Beauty,2025-07-31 01:24:00
8,1162,view_item,Fashion,2025-07-30 11:39:00
9,4894,add_to_cart,Home & Living,2025-07-05 10:59:00
10,3486,view_item,Fashion,2025-07-28 05:07:00
11,4989,view_item,Electronics,2025-07-07 20:41:00
12,2416,add_to_cart,Home & Living,2025-07-09 15:19:00
13,3936,view_item,Home & Living,2025-07-10 21:50:00
14,2668,view_item,Beauty,2025-07-20 13:20:00
15,1399,add_to_cart,Electronics,2025-07-27 07:34:00
16,1846,view_item,Beauty,2025-07-27 02:08:00
17,2355,add_to_cart,Beauty,2025-07-07 03:10:00
18,4882,view_item,Electronics,2025-07-08 12:08:00
19,1515,add_to_cart,Electronics,2025-07-03 22:49:00
20,3870,checkout,Fashion,2025-07-21 04:40:00
21,3796,view_item,Home & Living,2025-07-25 08:34:00
22,4470,add_to_cart,Fashion,2025-07-18 10:45:00
23,2632,view_item,Beauty,2025-07-19 21:19:00
24,1396,view_item,Beauty,2025-07-28 10:06:00
25,3327,checkout,Electronics,2025-07-11 15:23:00
26,689,view_item,Home & Living,2025-07-11 01:33:00
27,387,view_item,Beauty,2025-07-03 08:28:00
28,3721,view_item,Beauty,2025-07-08 11:40:00
29,1760,add_to_cart,Beauty,2025-07-10 14:55:00
30,4333,view_item,Beauty,2025-07-26 14:07:00
31,2920,add_to_cart,Beauty,2025-07-19 14:12:00
32,2130,add_to_cart,Beauty,2025-07-20 06:02:00
33,2731,view_item,Fashion,2025-07-18 00:14:00
34,1600,view_item,Electronics,2025-07-14 02:55:00
35,563,view_item,Fashion,2025-07-21 16:58:00
36,4923,view_item,Fashion,2025-07-02 16:30:00
37,4146,add_to_cart,Fashion,2025-07-18 02:22:00
38,1427,view_item,Home & Living,2025-07-07 00:18:00
39,4546,view_item,Home & Living,2025-07-22 02:20:00
40,1488,view_item,Electronics,2025-07-10 13:20:00
41,1743,add_to_cart,Beauty,2025-07-16 16:03:00
42,832,view_item,Electronics,2025-07-22 15:12:00
43,2397,add_to_cart,Beauty,2025-07-16 02:47:00
44,3926,add_to_cart,Home & Living,2025-07-30 05:37:00
45,3257,checkout,Electronics,2025-07-08 06:52:00
46,3245,view_item,Fashion,2025-07-19 08:56:00
47,3081,view_item,Home & Living,2025-07-29 10:03:00
48,4994,add_to_cart,Electronics,2025-07-04 01:34:00
49,4879,view_item,Beauty,2025-07-19 00:34:00
50,1917,view_item,Beauty,2025-07-23 02:34:00
51,4870,add_to_cart,Home & Living,2025-07-10 09:10:00
52,2416,view_item,Home & Living,2025-07-31 16:49:00
53,4233,add_to_cart,Beauty,2025-07-31 21:39:00
54,3751,view_item,Beauty,2025-07-18 11:52:00
55,4017,add_to_cart,Beauty,2025-07-19 11:48:00
56,4260,checkout,Fashion,2025-07-24 03:53:00
57,4853,view_item,Electronics,2025-07-03 14:47:00
58,4783,add_to_cart,Home & Living,2025-07-20 21:57:00
59,607,view_item,Fashion,2025-07-18 06:40:00
60,4985,checkout,Home & Living,2025-07-15 00:59:00
61,2689,checkout,Beauty,2025-07-09 10:51:00
62,811,add_to_cart,Beauty,2025-07-07 13:31:00
63,1310,checkout,Home & Living,2025-07-04 02:11:00
64,1783,view_item,Electronics,2025-07-17 10:48:00
65,3559,add_to_cart,Electronics,2025-07-19 07:39:00
66,4028,view_item,Electronics,2025-07-30 10:36:00
67,94,add_to_cart,Electronics,2025-07-20 21:58:00
68,4693,add_to_cart,Fashion,2025-07-15 14:36:00
