transaction_id,user_id,amount,status,transaction_time
1,2314,2891595.47,success,2025-07-20 01:41:00
2,4807,631626.69,success,2025-07-24 19:10:00
3,287,3679040.38,success,2025-07-15 12:15:00
4,4384,4147897.45,success,2025-07-21 20:47:00
5,3868,3587012.85,success,2025-07-14 06:02:00
6,4248,454357.22,success,2025-07-02 17:42:00
7,2336,3383147.83,success,2025-07-21 06:03:00
8,1484,4915130.15,success,2025-07-03 11:36:00
9,619,2954312.57,success,2025-07-22 15:46:00
10,3404,934624.78,failed,2025-07-29 03:59:00
11,3446,4201817.0,success,2025-07-09 23:24:00
12,3142,4204202.78,success,2025-07-12 21:59:00
13,1479,921892.55,success,2025-07-20 04:33:00
14,889,4619510.38,success,2025-07-20 23:47:00
15,485,2198579.9,success,2025-07-27 08:33:00
16,2477,225477.93,success,2025-07-25 09:19:00
17,1655,421831.63,success,2025-07-03 06:25:00
18,1404,4354509.4,success,2025-07-29 19:05:00
19,1007,3413276.61,success,2025-07-19 18:38:00
20,3808,2709624.53,success,2025-07-09 00:01:00
21,708,4783305.52,success,2025-07-17 14:52:00
22,4664,2925684.03,failed,2025-07-22 15:31:00
23,1760,1324964.49,success,2025-07-13 01:52:00
24,3433,580512.34,success,2025-07-10 01:13:00
25,472,1574514.78,failed,2025-07-13 05:13:00
26,609,1145463.04,success,2025-07-02 22:34:00
27,3914,1894588.25,success,2025-07-04 17:30:00
28,1791,4738393.3,success,2025-07-29 01:58:00
29,2971,4937724.61,success,2025-07-01 23:16:00
30,1178,3427866.86,success,2025-07-29 18:39:00
31,2584,3357207.67,failed,2025-07-30 10:25:00
32,3464,4608699.69,success,2025-07-29 02:34:00
33,4581,3341004.13,success,2025-07-23 03:37:00
34,2734,4846954.51,success,2025-07-01 10:15:00
35,2423,207545.77,success,2025-07-26 08:55:00
36,707,2088878.84,success,2025-07-07 19:45:00
37,3840,1943415.01,success,2025-07-17 20:25:00
38,2962,3095396.61,pending,2025-07-21 14:23:00
39,3576,4821782.67,success,2025-07-02 16:55:00
40,3535,4507647.25,success,2025-07-22 04:00:00
41,1923,2122572.16,success,2025-07-09 19:58:00
42,4039,4180502.45,success,2025-07-09 03:30:00
43,429,1695058.31,pending,2025-07-19 02:16:00
44,3820,1768781.4,success,2025-07-23 07:37:00
45,4171,2734317.31,pending,2025-07-15 17:50:00
46,2030,2013221.76,success,2025-07-11 19:48:00
47,4112,2601369.5,success,2025-07-21 19:27:00
48,428,1533667.66,success,2025-07-03 20:47:00
49,3599,1451682.35,success,2025-07-23 22:30:00
50,1970,519906.88,success,2025-07-01 15:03:00
51,3708,2520943.01,pending,2025-07-18 21:23:00
52,3439,645180.61,success,2025-07-18 05:32:00
53,370,636787.19,success,2025-07-23 10:44:00
54,2941,2801424.51,success,2025-07-18 11:23:00
55,597,969378.04,success,2025-07-24 13:28:00
56,391,3534366.51,success,2025-07-25 03:49:00
57,2685,3753102.01,success,2025-07-31 23:56:00
58,1082,3058422.76,success,2025-07-25 11:14:00
59,900,1169157.56,pending,2025-07-29 23:59:00
60,1510,4705471.04,success,2025-07-04 21:48:00
61,4672,2743064.11,success,2025-07-09 21:25:00
62,4938,647034.69,failed,2025-07-11 01:43:00
63,3151,3503201.74,success,2025-07-01 18:55:00
64,502,193241.38,success,2025-07-04 11:48:00
65,3681,3224485.11,success,2025-07-25 05:07:00
66,1673,2310182.55,success,2025-07-24 08:29:00
67,1431,2718177.49,success,2025-07-29 01:59:00
