user_id,signup_date,platform,country,user_type
1,2025-06-13,Android,Singapore,New User
2,2025-02-05,iOS,Indonesia,Returning User
3,2025-01-09,Android,Malaysia,New User
4,2025-06-04,Android,Malaysia,Returning User
5,2025-06-29,iOS,Malaysia,Returning User
6,2025-03-13,Web,Indonesia,Returning User
7,2025-02-10,iOS,Singapore,New User
8,2025-02-25,Web,Singapore,New User
9,2025-04-08,Android,Singapore,Returning User
10,2025-01-12,iOS,Indonesia,Returning User
11,2025-04-07,Android,Singapore,Returning User
12,2025-06-08,Web,Singapore,Returning User
13,2025-06-30,Android,Malaysia,Returning User
14,2025-01-21,Web,Indonesia,New User
15,2025-04-27,iOS,Singapore,New User
16,2025-04-01,Android,Singapore,Returning User
17,2025-06-24,iOS,Malaysia,Returning User
18,2025-03-04,Android,Thailand,New User
19,2025-06-13,iOS,Malaysia,Returning User
20,2025-01-15,Android,Indonesia,Returning User
21,2025-04-13,Android,Malaysia,Returning User
22,2025-05-26,Web,Singapore,New User
23,2025-05-08,Android,Thailand,New User
24,2025-02-05,Android,Singapore,Returning User
25,2025-04-20,Web,Thailand,New User
26,2025-02-05,iOS,Indonesia,Returning User
27,2025-01-29,Android,Malaysia,Returning User
28,2025-04-19,iOS,Thailand,New User
29,2025-04-30,iOS,Indonesia,Returning User
30,2025-01-30,iOS,Singapore,Returning User
31,2025-03-29,Android,Thailand,New User
32,2025-01-01,Web,Singapore,Returning User
33,2025-02-15,iOS,Indonesia,Returning User
34,2025-03-18,Web,Malaysia,New User
35,2025-02-11,iOS,Indonesia,Returning User
36,2025-05-06,Android,Singapore,Returning User
37,2025-03-20,Android,Malaysia,Returning User
38,2025-01-21,Android,Thailand,Returning User
39,2025-05-17,iOS,Malaysia,Returning User
40,2025-05-21,Android,Thailand,Returning User
41,2025-05-19,iOS,Malaysia,Returning User
42,2025-04-13,Web,Singapore,Returning User
43,2025-05-13,Android,Malaysia,New User
44,2025-03-28,Android,Malaysia,Returning User
45,2025-01-02,Android,Indonesia,New User
46,2025-01-09,Web,Indonesia,Returning User
47,2025-03-13,iOS,Malaysia,Returning User
48,2025-05-27,iOS,Malaysia,Returning User
49,2025-04-15,Android,Indonesia,Returning User
